window_label,window_start,window_end,n_dates,n_obs,full_fmb_coef,full_fmb_se,full_fmb_pval,full_fmb_stars,full_ls_sharpe,full_ls_n_days,large_fmb_coef,large_fmb_se,large_fmb_pval,large_fmb_stars,large_ls_sharpe,large_ls_n_days,mid_fmb_coef,mid_fmb_se,mid_fmb_pval,mid_fmb_stars,mid_ls_sharpe,mid_ls_n_days,small_fmb_coef,small_fmb_se,small_fmb_pval,small_fmb_stars,small_ls_sharpe,small_ls_n_days
2016,2016-01-01,2016-12-31,252,363083,0.08472716143872769,0.03585144096645291,0.018114787114309472,**,0.4659597323256306,252,-0.023673843363899393,0.029398530746309156,0.4206648465038265,,5.298355559024186,252,0.1218489740634804,0.04575251423772826,0.007741701048607164,***,10.752198926019087,252,0.19862582050448815,0.08996371351639175,0.027259676928936827,**,-0.068397711306728,252
2017,2017-01-01,2017-12-31,251,466589,-0.10161607083569828,0.03678470081352104,0.005737302185713,***,8.064890530232988,251,0.009261567846192136,0.025948461616223092,0.7211512653752021,,2.8603237069661134,251,-0.009896791282406506,0.04326733568315319,0.8190747895159975,,4.221004780754722,251,-0.1241889316738262,0.12099103245554185,0.3046928895640231,,6.204611550492234,251
2018,2018-01-01,2018-12-31,251,486149,0.337258386399906,0.06981725046529941,1.3622077243979902e-06,***,19.677210792582937,251,0.17112538609962383,0.05992640296045369,0.004296630676229762,***,12.077476241620692,251,0.43342072640521195,0.10184248076219948,2.085676253815727e-05,***,14.909732813478207,251,0.5562665822568126,0.2087101985719386,0.007695047696301804,***,12.64188729663365,251
2019,2019-01-01,2019-12-31,252,517356,0.3308852023654349,0.06693085773326751,7.671709665313386e-07,***,20.921036559224685,252,0.15475791176031747,0.057285495244530374,0.006903592319379648,***,12.36918656752748,252,0.5092534352943913,0.11768304360139369,1.5114841622754227e-05,***,14.314532978413217,252,0.8149335419320576,0.3022041686177376,0.00700664012535146,***,12.920711554445512,252
2020,2020-01-01,2020-12-31,253,547048,0.24268145907518063,0.10813089584862429,0.024812188592368667,**,9.378866208247581,253,0.16339201735470796,0.09139763332056136,0.07382693835352594,*,4.656843699772585,253,0.36348120685100604,0.11458472697756754,0.0015138113394499442,***,7.030428249387429,253,0.6860418117917193,0.34940879923530205,0.049600513882723574,**,8.810400142461864,253
2021,2021-01-01,2021-12-31,252,602941,0.3523529329574816,0.13008339741396807,0.006755705863070727,***,8.214624787413479,252,0.3188340313833568,0.1452423329992199,0.02815235705230945,**,6.430395263128393,252,0.47516629845731456,0.27628325470132176,0.08546219438076519,*,3.706239553332455,252,1.311916943504673,0.977799078655061,0.17969461428094036,,3.9016971508802967,252
2022,2022-01-01,2022-12-31,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
2023,2023-01-01,2023-12-31,250,661834,0.31613848406711786,0.254547924365425,0.21425220523959698,,7.7017533413823855,250,0.07439320072574264,0.17375205763506182,0.6685375719356468,,2.0603527282496117,250,0.899514433383634,0.8837924955447657,0.30878095743264744,,4.613816023302663,250,0.5896990294471112,0.3511629652494465,0.09310252424275234,*,2.71600516090035,250
2024,2024-01-01,2024-12-31,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
2025,2025-01-01,2025-12-31,250,711684,0.19371652008858056,0.08838839555794682,0.028405574776458886,**,16.58431327140656,250,0.05352997185604064,0.06036304486129412,0.3751884912255381,,7.743812342687486,250,0.3522820452693936,0.1470488367746158,0.016591751307485803,**,14.08914347793961,250,0.6738052960145057,0.2781657064339904,0.015424050937845601,**,11.528143921105409,250
2026 (Jan-Feb),2026-01-01,2026-02-28,39,91473,0.06639744841336924,0.1474672662620115,0.6525313000301871,,13.988297140702652,38,-0.28343116436649857,0.16080664724201,0.07799591715582,*,9.974168102902851,38,0.5590719943380548,0.3348702875012747,0.09504174075918881,*,5.6719866175406155,38,0.6816778878006495,0.8742719079906339,0.4355791165028702,,9.685911660049387,38
