window_label,window_start,window_end,n_dates,n_obs,dep_var,fmb_coef,fmb_se,fmb_pval,fmb_stars,nr_lag1_coef,nr_lag1_se,nr_lag1_pval,nr_lag1_stars,nr_lag2_coef,nr_lag2_se,nr_lag2_pval,nr_lag2_stars,nr_lag3_coef,nr_lag3_se,nr_lag3_pval,nr_lag3_stars,nr_lag4_coef,nr_lag4_se,nr_lag4_pval,nr_lag4_stars,nr_lag5_coef,nr_lag5_se,nr_lag5_pval,nr_lag5_stars,ls_mean_daily,ls_ann_return,ls_sharpe,ls_win_rate,ls_n_days
2016,2016-01-01,2016-12-31,252,363083,return_oo_adj,0.0847271614387279,0.03585144096645291,0.01811478711430925,**,0.0035152539657178758,0.03837384429228367,0.9270116774543076,,0.009936504926560126,0.043218506859856794,0.8181596612407098,,-0.032670738768240275,0.03219358200488113,0.31019321174095005,,0.020669423135865984,0.033338969618884516,0.5352736746651785,,0.06082884039542774,0.04379968269329424,0.1648975542962634,,0.19034607838488832,47.96721175299186,0.4659597323256306,0.8373015873015873,252
2017,2017-01-01,2017-12-31,251,466589,return_oo_adj,-0.10161607083569828,0.03678470081352102,0.005737302185713,***,-0.07895196759997554,0.04121582187370767,0.05542144894374612,*,0.00558784155972586,0.03003268187330982,0.8523990174562845,,-0.007836788031254243,0.03303721326479461,0.8124935237613031,,0.028669791015477182,0.02788230432305768,0.3038372909109597,,-0.006468536674811583,0.03211727776387585,0.8403832764340811,,0.22560252039330514,56.85183513911289,8.064890530232988,0.7250996015936255,251
2018,2018-01-01,2018-12-31,251,486149,return_oo_adj,0.33725838639990635,0.06981725046529942,1.3622077243979902e-06,***,0.1647301857119997,0.06796403266814982,0.015361194324291949,**,-0.006439924714135632,0.0783041806671984,0.9344540864861433,,0.08238153644572918,0.07214753755644868,0.25351942883975864,,0.21899005393264348,0.06585918283517121,0.0008840554671476486,***,0.057625232868544596,0.0693486269120544,0.4060036218180083,,0.7067836307205951,178.10947494158998,19.677210792582937,0.9243027888446215,251
2019,2019-01-01,2019-12-31,252,517356,return_oo_adj,0.3308852023654355,0.06693085773326751,7.671709665313386e-07,***,0.10635688221443093,0.07338338954441356,0.1472478642275381,,-0.06073687186273706,0.08758654052366482,0.4880288023497896,,0.016011224543731044,0.08164129139094052,0.8445191601258832,,0.15667269613852688,0.07398542221465516,0.03420992004591117,**,0.13723201909868596,0.09381560315657278,0.14352926395576682,,0.7601173001488781,191.5495596375173,20.921036559224685,0.9325396825396826,252
2020,2020-01-01,2020-12-31,253,547048,return_oo_adj,0.24268145907518043,0.10813089584862441,0.02481218859236889,**,-0.03199184700661651,0.1707365045709991,0.8513665546319109,,0.05100751094603203,0.13859234816545757,0.7128442489631812,,-0.08213528404706347,0.10516955498667807,0.43481623271794256,,0.0461378142607724,0.14139573311385156,0.7441959771871001,,0.0362576765288847,0.14299936283820952,0.7998427140394946,,0.7083194324250172,178.49649697110434,9.378866208247581,0.7905138339920948,253
2021,2021-01-01,2021-12-31,252,602941,return_oo_adj,0.3523529329574841,0.13008339741396993,0.006755705863071171,***,0.19131997303322068,0.16328831867157914,0.24133126001906735,,0.16480865438883288,0.1414908975408694,0.24410135051494564,,0.18479731843071187,0.14016450804304728,0.18736089331364725,,-0.32212634100731885,0.27493093794524204,0.24133404252127666,,0.08329590250366409,0.13378383806887065,0.5335379619167719,,0.6109565440311997,153.96104909586234,8.214624787413479,0.8452380952380952,252
2022,2022-01-01,2022-12-31,0,0,return_oo_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2023,2023-01-01,2023-12-31,250,661834,return_oo_adj,0.31613848406711853,0.25454792436542556,0.21425220523959698,,0.07766706057365472,0.10513010608213687,0.4600479292894799,,-0.23457685694836716,0.26288574452554525,0.37222640663566686,,-0.0006966208123295558,0.13947218172711348,0.9960148379511702,,0.2592941442652764,0.22869643573622156,0.2568846957735149,,0.029481151314905304,0.1131689043257376,0.7944742272904826,,0.6414101345014069,161.63535389435455,7.7017533413823855,0.792,250
2024,2024-01-01,2024-12-31,0,0,return_oo_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2025,2025-01-01,2025-12-31,250,711684,return_oo_adj,0.19371652008858053,0.08838839555794681,0.028405574776458886,**,0.005368412311732149,0.09299054459984554,0.9539632253597199,,-0.04067558665562649,0.07660875084278704,0.595453034930397,,-0.1513203927644655,0.11955212009917224,0.20561357078332998,,0.10301189493528622,0.0917439784877315,0.26151694026912153,,0.10700981130631936,0.09913133081514729,0.28037848720649183,,0.8164734666811932,205.7513136036607,16.58431327140656,0.888,250
2026 (Jan-Feb),2026-01-01,2026-02-28,39,91473,return_oo_adj,0.06639744841336817,0.14746726626201184,0.6525313000301933,,0.08654117569678102,0.219104528065733,0.6928657673557197,,-0.7844182138790332,0.2714374000855021,0.003859602613838442,***,0.05596370143563002,0.2459504923874997,0.8200065938096512,,0.608391904059994,0.27294098321934473,0.02582719454088034,**,0.4232066823518905,0.20113454009255982,0.03538666527326062,**,0.826919885515862,208.38381114999723,13.988297140702652,0.8421052631578947,38
